,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,escapeRange,Wolves,Sheep
319,29,3,0,20,20,0.04,0.05,20,True,30,4,50,100,0.25,100,50
320,29,3,10,20,20,0.04,0.05,20,True,30,4,50,100,0.25,100,36
321,29,3,20,20,20,0.04,0.05,20,True,30,4,50,100,0.25,47,13
322,29,3,30,20,20,0.04,0.05,20,True,30,4,50,100,0.25,10,12
323,29,3,40,20,20,0.04,0.05,20,True,30,4,50,100,0.25,7,7
324,29,3,50,20,20,0.04,0.05,20,True,30,4,50,100,0.25,1,9
325,29,3,60,20,20,0.04,0.05,20,True,30,4,50,100,0.25,2,10
326,29,3,70,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,15
327,29,3,80,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,26
328,29,3,90,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,32
329,29,3,100,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,31
